Movie Rating,User Votes,Title
9.3,2536461,The Shawshank Redemption
9.2,1745695,The Godfather
9.0,749574,12 Angry Men
9.0,1211046,The Godfather: Part II
9.0,2486973,The Dark Knight
8.9,1952890,Pulp Fiction
8.9,1295725,Schindler's List
8.9,1749747,The Lord of the Rings: The Return of the King
8.8,2228680,Inception
8.8,1996157,Fight Club
8.8,1957578,Forrest Gump
8.8,1771272,The Lord of the Rings: The Fellowship of the Ring
8.8,732566,"The Good, the Bad and the Ugly"
8.7,970957,One Flew Over the Cuckoo's Nest
8.7,1230908,Star Wars: Episode V - The Empire Strikes Back
8.7,1580921,The Lord of the Rings: The Two Towers
8.7,432451,Spider-Man: No Way Home
8.7,1096909,Goodfellas
8.7,1830941,The Matrix
8.6,712480,Parasite
8.6,715685,Spirited Away
8.6,666616,Life Is Beautiful
8.6,733275,City of God
8.6,438955,It's a Wonderful Life
8.6,1234117,The Green Mile
8.6,1323836,Saving Private Ryan
8.6,1302386,Star Wars: Episode IV - A New Hope
8.6,1363309,The Silence of the Lambs
8.6,334949,Seven Samurai
8.6,1556174,Se7en
8.6,1682038,Interstellar
8.5,319736,Once Upon a Time in the West
8.5,1053740,Terminator 2: Judgment Day
8.5,552620,Casablanca
8.5,817334,The Intouchables
8.5,788481,Whiplash
8.5,233628,Modern Times
8.5,1006749,The Lion King
8.5,790790,The Pianist
8.5,474496,Rear Window
8.5,1047661,The Usual Suspects
8.5,260557,Grave of the Fireflies
8.5,1273546,The Prestige
8.5,1084193,American History X
8.5,250820,Cinema Paradiso
8.5,1108207,Léon: The Professional
8.5,1140712,Back to the Future
8.5,1431491,Gladiator
8.5,1267012,The Departed
8.5,644157,Psycho
8.4,841213,Alien
8.4,553433,Oldboy
8.4,642214,Apocalypse Now
8.4,458608,Coco
8.4,1066021,WALL·E
8.4,217247,The Great Dictator
8.4,1466494,Django Unchained
8.4,378992,The Lives of Others
8.4,377500,3 Idiots
8.4,1613447,The Dark Knight Rises
8.4,374686,Princess Mononoke
8.4,214885,Sunset Blvd.
8.4,932639,Indiana Jones and the Raiders of the Lost Ark
8.4,466761,Spider-Man: Into the Spider-Verse
8.4,474690,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
8.4,239213,Your Name.
8.4,1191237,Memento
8.4,968413,The Shining
8.4,975546,Avengers: Infinity War
8.4,1005719,Avengers: Endgame
8.4,1136608,Joker
8.3,236669,A Separation
8.3,254465,The Sting
8.3,284550,Lawrence of Arabia
8.3,233657,Singin' in the Rain
8.3,528222,1917
8.3,244488,Das Boot
8.3,691116,Aliens
8.3,337477,Once Upon a Time in America
8.3,799849,A Clockwork Orange
8.3,642710,2001: A Space Odyssey
8.3,714182,Full Metal Jacket
8.3,317963,North by Northwest
8.3,735274,Amélie
8.3,313122,The Hunt
8.3,796935,Scarface
8.3,389672,Vertigo
8.3,947823,Toy Story
8.3,1006181,Star Wars: Episode VI - Return of the Jedi
8.3,922288,Good Will Hunting
8.3,1368426,Inglourious Basterds
8.3,809389,Requiem for a Dream
8.3,429520,Citizen Kane
8.3,966342,Eternal Sunshine of the Spotless Mind
8.3,1120602,American Beauty
8.3,388764,Amadeus
8.3,976843,Reservoir Dogs
8.3,1004892,Braveheart
8.2,563815,L.A. Confidential
8.2,564759,"Lock, Stock and Two Smoking Barrels"
8.2,308540,To Kill a Mockingbird
8.2,997492,Up
8.2,447928,Green Book
8.2,623596,Heat
8.2,315113,Chinatown
8.2,237972,The Great Escape
8.2,258942,Some Like It Hot
8.2,204181,The Secret in Their Eyes
8.2,1232413,Shutter Island
8.2,1309344,The Wolf of Wall Street
8.2,1389287,Batman Begins
8.2,248184,For a Few Dollars More
8.2,729644,Indiana Jones and the Last Crusade
8.2,801513,Toy Story 3
8.2,847430,Die Hard
8.2,398862,Unforgiven
8.2,369901,Howl's Moving Castle
8.2,525792,Monty Python and the Holy Grail
8.2,780903,Taxi Driver
8.2,826516,Snatch
8.2,346508,Downfall
8.2,341522,Raging Bull
8.2,498455,Casino
8.2,648677,Pan's Labyrinth
8.2,898004,A Beautiful Mind
8.2,559120,There Will Be Blood
8.2,320427,My Neighbor Totoro
8.1,347893,Hotel Rwanda
8.1,358163,Zack Snyder's Justice League
8.1,416930,The Princess Bride
8.1,387097,Stand by Me
8.1,353383,Ford v Ferrari
8.1,402025,Room
8.1,388195,Life of Brian
8.1,253137,Before Sunset
8.1,457145,Warrior
8.1,452554,Spotlight
8.1,480354,"Three Billboards Outside Ebbing, Missouri"
8.1,306368,Gone with the Wind
8.1,468240,Dune
8.1,655495,Fargo
8.1,272843,Hachi: A Dog's Tale
8.1,487425,Hacksaw Ridge
8.1,604956,Into the Wild
8.1,329791,The Deer Hunter
8.1,293489,Before Sunrise
8.1,401614,Platoon
8.1,551408,Rocky
8.1,297029,Soul
8.1,402807,The Thing
8.1,462001,Rush
8.1,829184,Harry Potter and the Deathly Hallows: Part 2
8.1,676683,12 Years a Slave
8.1,708111,How to Train Your Dragon
8.1,710827,Logan
8.1,1015658,The Truman Show
8.1,738397,Blade Runner
8.1,957237,The Sixth Sense
8.1,1068358,Kill Bill: Vol. 1
8.1,234215,The Elephant Man
8.1,869267,"Monsters, Inc."
8.1,951191,Mad Max: Fury Road
8.1,235197,Amores perros
8.1,933697,Gone Girl
8.1,753591,Gran Torino
8.1,766965,The Grand Budapest Hotel
8.1,1086094,V for Vendetta
8.1,673108,Inside Out
8.1,667645,Million Dollar Baby
8.1,661416,Prisoners
8.1,929843,Jurassic Park
8.1,462097,Dead Poets Society
8.1,780515,The Big Lebowski
8.1,924789,No Country for Old Men
8.1,214653,The Bridge on the River Kwai
8.1,666246,Trainspotting
8.1,232299,Ben-Hur
8.1,1002907,Finding Nemo
8.1,917410,Catch Me If You Can
8.0,225535,Gandhi
8.0,764178,The Revenant
8.0,727539,Kill Bill: Vol. 2
8.0,229169,Lion
8.0,735638,The Imitation Game
8.0,471716,Zootopia
8.0,444283,The Help
8.0,384565,The Exorcist
8.0,976388,Deadpool
8.0,211495,Butch Cassidy and the Sundance Kid
8.0,384803,The Wizard of Oz
8.0,554170,La La Land
8.0,755693,Sin City
8.0,814945,The Martian
8.0,529460,Blood Diamond
8.0,219629,Ip Man
8.0,323524,The Nightmare Before Christmas
8.0,210531,A Fistful of Dollars
8.0,434368,Beauty and the Beast
8.0,774895,Donnie Darko
8.0,221669,The Sound of Music
8.0,736746,Black Swan
8.0,573293,Jaws
8.0,685036,Ratatouille
8.0,486360,The Pursuit of Happyness
8.0,664740,The King's Speech
8.0,249577,Dog Day Afternoon
8.0,636907,Casino Royale
8.0,255011,Dances with Wolves
8.0,260669,Annie Hall
8.0,1335933,The Avengers
8.0,497364,Rain Man
8.0,622853,The Bourne Ultimatum
8.0,1121356,Guardians of the Galaxy
8.0,304756,Magnolia
8.0,207897,Rosemary's Baby
8.0,266694,The Graduate
8.0,284553,Scent of a Woman
8.0,694225,The Incredibles
8.0,581081,Her
8.0,471120,Dallas Buyers Club
8.0,827011,Slumdog Millionaire
8.0,603687,Groundhog Day
8.0,830991,The Terminator
8.0,393972,Aladdin
8.0,1061001,Pirates of the Caribbean: The Curse of the Black Pearl
8.0,432288,Big Fish
8.0,603332,12 Monkeys
8.0,526378,Blade Runner 2049
7.9,211916,Carlito's Way
7.9,505032,Bohemian Rhapsody
7.9,212829,Let the Right One In
7.9,356541,Jojo Rabbit
7.9,491331,The Perks of Being a Wallflower
7.9,1010454,Iron Man
7.9,210437,Captain Fantastic
7.9,650135,Shrek
7.9,532773,The Bourne Identity
7.9,594792,Star Trek
7.9,645793,Edge of Tomorrow
7.9,249445,Call Me by Your Name
7.9,664117,District 9
7.9,238064,The Artist
7.9,255691,Boogie Nights
7.9,677096,Thor: Ragnarok
7.9,269212,Almost Famous
